[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 38 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 39 animal dead

[2020.05.24 17:04:24] | INFO  | [Node2D.gd] [_ready()] >> 40 animal dead

[2020.05.24 17:04:25] | INFO  | [Node2D.gd] [_ready()] >> 80 animal born

[2020.05.24 17:04:26] | INFO  | [Node2D.gd] [_ready()] >> 81 animal born

[2020.05.24 17:04:27] | INFO  | [Node2D.gd] [_ready()] >> 82 animal born

[2020.05.24 17:04:27] | INFO  | [Node2D.gd] [_ready()] >> 83 animal born

[2020.05.24 17:04:27] | INFO  | [Node2D.gd] [_ready()] >> 84 animal born

[2020.05.24 17:04:27] | INFO  | [Node2D.gd] [_ready()] >> 85 animal born

[2020.05.24 17:04:28] | INFO  | [Node2D.gd] [_ready()] >> 86 animal born

[2020.05.24 17:04:28] | INFO  | [Node2D.gd] [_ready()] >> 87 animal born

[2020.05.24 17:04:30] | INFO  | [Node2D.gd] [_ready()] >> 88 animal born

[2020.05.24 17:04:31] | INFO  | [Node2D.gd] [_ready()] >> 89 animal born

[2020.05.24 17:04:31] | INFO  | [Node2D.gd] [_ready()] >> 90 animal born

[2020.05.24 17:04:33] | INFO  | [Node2D.gd] [_ready()] >> 91 animal born

[2020.05.24 17:04:33] | INFO  | [Node2D.gd] [_ready()] >> 92 animal born

[2020.05.24 17:04:34] | INFO  | [Node2D.gd] [_ready()] >> 93 animal born

[2020.05.24 17:04:35] | INFO  | [Node2D.gd] [_ready()] >> 94 animal born

[2020.05.24 17:04:35] | INFO  | [Node2D.gd] [_ready()] >> 95 animal born

[2020.05.24 17:04:36] | INFO  | [Node2D.gd] [_ready()] >> 96 animal born

[2020.05.24 17:04:36] | INFO  | [Node2D.gd] [_ready()] >> 97 animal born

[2020.05.24 17:04:36] | INFO  | [Node2D.gd] [_ready()] >> 98 animal born

[2020.05.24 17:04:38] | INFO  | [Node2D.gd] [_ready()] >> 45 animal dead

[2020.05.24 17:04:38] | INFO  | [Node2D.gd] [_ready()] >> 46 animal dead

[2020.05.24 17:04:38] | INFO  | [Node2D.gd] [_ready()] >> 47 animal dead

[2020.05.24 17:04:39] | INFO  | [Node2D.gd] [_ready()] >> 49 animal dead

