[2021.11.10 23:10:45] | INFO  | [Node2D.gd] [_ready()] >> #107 animal born

[2021.11.10 23:10:45] | INFO  | [Node2D.gd] [_ready()] >> #61 animal dead

[2021.11.10 23:10:45] | INFO  | [Node2D.gd] [_ready()] >> #108 animal born

[2021.11.10 23:10:47] | INFO  | [Node2D.gd] [_ready()] >> #109 animal born

[2021.11.10 23:10:50] | INFO  | [Node2D.gd] [_ready()] >> #110 animal born

[2021.11.10 23:10:50] | INFO  | [Node2D.gd] [_ready()] >> #111 animal born

[2021.11.10 23:10:50] | INFO  | [Node2D.gd] [_ready()] >> #112 animal born

[2021.11.10 23:10:50] | INFO  | [Node2D.gd] [_ready()] >> #63 animal dead

[2021.11.10 23:10:52] | INFO  | [Node2D.gd] [_ready()] >> #64 animal dead

[2021.11.10 23:10:52] | INFO  | [Node2D.gd] [_ready()] >> #113 animal born

[2021.11.10 23:10:53] | INFO  | [Node2D.gd] [_ready()] >> #68 animal dead

[2021.11.10 23:10:54] | INFO  | [Node2D.gd] [_ready()] >> #114 animal born

[2021.11.10 23:10:55] | INFO  | [Node2D.gd] [_ready()] >> #115 animal born

[2021.11.10 23:10:55] | INFO  | [Node2D.gd] [_ready()] >> #116 animal born

[2021.11.10 23:10:55] | INFO  | [Node2D.gd] [_ready()] >> #117 animal born

[2021.11.10 23:10:55] | INFO  | [Node2D.gd] [_ready()] >> #69 animal dead

[2021.11.10 23:10:56] | INFO  | [Node2D.gd] [_ready()] >> #118 animal born

[2021.11.10 23:10:57] | INFO  | [Node2D.gd] [_ready()] >> #70 animal dead

[2021.11.10 23:10:58] | INFO  | [Node2D.gd] [_ready()] >> #119 animal born

[2021.11.10 23:10:58] | INFO  | [Node2D.gd] [_ready()] >> #72 animal dead

